distance_km,lat,lon,elevation,speed_km_h,pace_min_km
2.7790000000000004,-12.098303335874622,-76.98489999999893,169.37598978867044,-18.593405070216,14.251318215899182
2.7840000000000007,-12.098320819613043,-76.98489999999893,169.35866297203597,-18.529657841449595,14.231839895998336
2.7890000000000006,-12.098338427145222,-76.98489999999893,169.34121176384681,-18.465467465899767,14.21222617013589
2.7940000000000005,-12.098356158471159,-76.98489999999893,169.323636164103,-18.40083394356651,14.19247703831184
2.7990000000000004,-12.098374013590856,-76.98489999999893,169.30593617280448,-18.33575727444984,14.17259250052619
2.8040000000000007,-12.098391992504308,-76.98489999999894,169.28811178995133,-18.27023745854973,14.152572556778935
2.8090000000000006,-12.098410095211516,-76.98489999999893,169.27016301554346,-18.2042744958662,14.132417207070079
2.8140000000000005,-12.098428321712484,-76.98489999999894,169.25208984958093,-18.137868386399248,14.112126451399622
2.8190000000000004,-12.09844667200721,-76.98489999999893,169.2338922920637,-18.07101913014887,14.09170028976756
2.8240000000000007,-12.098465146095696,-76.98489999999896,169.21557034299187,-18.003726727115065,14.071138722173899
2.8290000000000006,-12.098483743977937,-76.98489999999896,169.19712400236529,-17.93599117729783,14.050441748618633
2.8340000000000005,-12.098502465653937,-76.98489999999894,169.17855327018407,-17.86781248069718,14.029609369101768
2.8390000000000004,-12.098521311123694,-76.98489999999896,169.15985814644813,-17.799190637313096,14.008641583623298
2.8440000000000007,-12.098540280387208,-76.98489999999896,169.14103863115756,-17.730125647145584,13.987538392183225
2.8490000000000006,-12.098559373444482,-76.98489999999896,169.12209472431232,-17.660617510194662,13.966299794781555
2.8540000000000005,-12.098578590295514,-76.98489999999896,169.1030264259124,-17.5906662264603,13.94492579141828
2.8590000000000004,-12.098597930940304,-76.98489999999896,169.08383373595774,-17.52027179594252,13.923416382093404
2.8640000000000008,-12.098617395378849,-76.98489999999896,169.06451665444848,-17.44943421864131,13.901771566806921
2.8690000000000007,-12.098636983611154,-76.98489999999896,169.0450751813845,-17.378153494556678,13.879991345558839
2.8740000000000006,-12.098656695637217,-76.98489999999896,169.02550931676586,-17.306429623688622,13.858075718349156
2.8790000000000004,-12.098676531457038,-76.98489999999896,169.00581906059253,-17.234262606037134,13.83602468517787
2.884000000000001,-12.098696491070614,-76.98489999999896,168.98600441286453,-17.161652441602232,13.813838246044982
2.8890000000000007,-12.098716574477951,-76.98489999999899,168.9660653735819,-17.088599130383894,13.79151640095049
2.8940000000000006,-12.098736781679044,-76.98489999999899,168.94600194274454,-17.015102672382138,13.769059149894398
2.8990000000000005,-12.098757112673898,-76.98489999999899,168.92581412035253,-16.941163067596953,13.746466492876705
2.9040000000000004,-12.098777567462507,-76.98489999999899,168.90550190640585,-16.866780316028347,13.72373842989741
